,image_id,file_name,caption
0,139,http://images.cocodataset.org/val2017/000000000139.jpg,A woman stands in the dining area at the table.
1,139,http://images.cocodataset.org/val2017/000000000139.jpg,A living area with a television and a table
2,139,http://images.cocodataset.org/val2017/000000000139.jpg,A woman standing in a kitchen by a window
3,139,http://images.cocodataset.org/val2017/000000000139.jpg,"A room with chairs, a table, and a woman in it."
4,139,http://images.cocodataset.org/val2017/000000000139.jpg,A person standing at a table in a room.
5,285,http://images.cocodataset.org/val2017/000000000285.jpg,Closeup of a brown bear sitting in a grassy area.
6,285,http://images.cocodataset.org/val2017/000000000285.jpg,A close up picture of a brown bear's face.
7,285,http://images.cocodataset.org/val2017/000000000285.jpg,A big burly grizzly bear is show with grass in the background.
8,285,http://images.cocodataset.org/val2017/000000000285.jpg,The large brown bear has a black nose.
9,285,http://images.cocodataset.org/val2017/000000000285.jpg,A large bear that is sitting on grass. 
10,632,http://images.cocodataset.org/val2017/000000000632.jpg,A bedroom with a bookshelf full of books.
11,632,http://images.cocodataset.org/val2017/000000000632.jpg,a bed room with a neatly made bed a window and a book shelf
12,632,http://images.cocodataset.org/val2017/000000000632.jpg,This room has a bed with blue sheets and a large bookcase
13,632,http://images.cocodataset.org/val2017/000000000632.jpg,"Bedroom scene with a bookcase, blue comforter and window."
14,632,http://images.cocodataset.org/val2017/000000000632.jpg,A bed and a mirror in a small room.
15,724,http://images.cocodataset.org/val2017/000000000724.jpg,A stop sign installed upside down on a street corner
16,724,http://images.cocodataset.org/val2017/000000000724.jpg,a stop sign put upside down on a metal pole 
17,724,http://images.cocodataset.org/val2017/000000000724.jpg,A stop sign that is hanging upside down.
18,724,http://images.cocodataset.org/val2017/000000000724.jpg,A stop sign is mounted upside-down on it's post. 
19,724,http://images.cocodataset.org/val2017/000000000724.jpg,An upside down stop sign by the road.
20,776,http://images.cocodataset.org/val2017/000000000776.jpg,Three stuffed bears hugging and sitting on a blue pillow
21,776,http://images.cocodataset.org/val2017/000000000776.jpg,"Three teddy bears, each a different color, snuggling together."
22,776,http://images.cocodataset.org/val2017/000000000776.jpg,Three stuffed animals are sitting on a bed. 
23,776,http://images.cocodataset.org/val2017/000000000776.jpg,three teddy bears giving each other a hug
24,776,http://images.cocodataset.org/val2017/000000000776.jpg,A group of three stuffed animal teddy bears.
25,785,http://images.cocodataset.org/val2017/000000000785.jpg,a person on skis makes her way through the snow
26,785,http://images.cocodataset.org/val2017/000000000785.jpg,A woman in a red jacket skiing down a slope
27,785,http://images.cocodataset.org/val2017/000000000785.jpg,a woman standing on skiis while posing for the camera
28,785,http://images.cocodataset.org/val2017/000000000785.jpg,A young woman is skiing down the mountain slope. 
29,785,http://images.cocodataset.org/val2017/000000000785.jpg,A woman posing for the camera standing on skis.
30,802,http://images.cocodataset.org/val2017/000000000802.jpg,The refrigerator is brand new and was delivered today.
31,802,http://images.cocodataset.org/val2017/000000000802.jpg,Stark white appliances stand out against brown wooden cabinets.
32,802,http://images.cocodataset.org/val2017/000000000802.jpg,Kitchen appliances and cabinets as seen through opening.
33,802,http://images.cocodataset.org/val2017/000000000802.jpg,"A kitchen with a refrigerator, stove and oven with cabinets."
34,802,http://images.cocodataset.org/val2017/000000000802.jpg,A white oven and a white refrigerator are in the kitchen.
35,872,http://images.cocodataset.org/val2017/000000000872.jpg,A couple of men play baseball and the batter runs for base.
36,872,http://images.cocodataset.org/val2017/000000000872.jpg,Two men playing baseball in a field on a sunny day.
37,872,http://images.cocodataset.org/val2017/000000000872.jpg,"Two guys playing baseball, with trees in the back."
38,872,http://images.cocodataset.org/val2017/000000000872.jpg,two baseball players are playing baseball on a field
39,872,http://images.cocodataset.org/val2017/000000000872.jpg,A couple of baseball player standing on a field.
40,885,http://images.cocodataset.org/val2017/000000000885.jpg,Someone playing in a tennis tournament with a crowd looking on.
41,885,http://images.cocodataset.org/val2017/000000000885.jpg,The man balances on one leg after serving a tennis ball.
42,885,http://images.cocodataset.org/val2017/000000000885.jpg,a male tennis player in white shorts is playing tennis
43,885,http://images.cocodataset.org/val2017/000000000885.jpg,A man holding a tennis racket playing tennis.
44,885,http://images.cocodataset.org/val2017/000000000885.jpg,This woman has just returned a volley in tennis
45,1000,http://images.cocodataset.org/val2017/000000001000.jpg,A group of young children standing next to each other.
46,1000,http://images.cocodataset.org/val2017/000000001000.jpg,a large family poses for picture on tennis court
47,1000,http://images.cocodataset.org/val2017/000000001000.jpg,The people are posing for a group photo.
48,1000,http://images.cocodataset.org/val2017/000000001000.jpg,A group of kids posing for a picture on a tennis court.
49,1000,http://images.cocodataset.org/val2017/000000001000.jpg,A group of people that are standing near a tennis net.
50,1268,http://images.cocodataset.org/val2017/000000001268.jpg,The woman is taking a photo of the white goose next to the river.
51,1268,http://images.cocodataset.org/val2017/000000001268.jpg,A girl is taking a picture of people fishing.
52,1268,http://images.cocodataset.org/val2017/000000001268.jpg,People underneath an arched bridge near the water.
53,1268,http://images.cocodataset.org/val2017/000000001268.jpg,A waterway under a bridge with people sitting down and a woman taking a photo.
54,1268,http://images.cocodataset.org/val2017/000000001268.jpg,A beautiful woman taking a picture with her smart phone.
55,1296,http://images.cocodataset.org/val2017/000000001296.jpg,A woman holding a Hello Kitty phone on her hands.
56,1296,http://images.cocodataset.org/val2017/000000001296.jpg,A woman holds up her phone in front of her face.
57,1296,http://images.cocodataset.org/val2017/000000001296.jpg,A woman in white shirt holding up a cellphone.
58,1296,http://images.cocodataset.org/val2017/000000001296.jpg,A woman checking her cell phone with a hello kitty case.
59,1296,http://images.cocodataset.org/val2017/000000001296.jpg,The Asian girl is holding her Miss Kitty phone
60,1353,http://images.cocodataset.org/val2017/000000001353.jpg,The children are riding on an indoor train. 
61,1353,http://images.cocodataset.org/val2017/000000001353.jpg,A group of children ride on an indoor train.
62,1353,http://images.cocodataset.org/val2017/000000001353.jpg,Several children on a small  indoor kiddie train.
63,1353,http://images.cocodataset.org/val2017/000000001353.jpg,Several children are riding on a toy train ride.
64,1353,http://images.cocodataset.org/val2017/000000001353.jpg,some children are riding on a mini orange train
65,1425,http://images.cocodataset.org/val2017/000000001425.jpg,A meal is lying on a plate on a table.
66,1425,http://images.cocodataset.org/val2017/000000001425.jpg,part of a sandwich sitting on a table
67,1425,http://images.cocodataset.org/val2017/000000001425.jpg,A plate with a burger that is halfway eaten. 
68,1425,http://images.cocodataset.org/val2017/000000001425.jpg,A half eaten meal sitting on a plate.
69,1425,http://images.cocodataset.org/val2017/000000001425.jpg,A sandwich with a bite taken on a plate.
70,1490,http://images.cocodataset.org/val2017/000000001490.jpg,"Black and white of a person wearing a wetsuit standing on a surfboard and holding out a paddle, in a large body of water outside."
71,1490,http://images.cocodataset.org/val2017/000000001490.jpg,A man is holding a long racquet on a surfboard in the middle of the sea.
72,1490,http://images.cocodataset.org/val2017/000000001490.jpg,A man in a wet suit stands on a surfboard and rows with a paddle.
73,1490,http://images.cocodataset.org/val2017/000000001490.jpg,"A paddle boarder on a large, still body of water."
74,1490,http://images.cocodataset.org/val2017/000000001490.jpg,A man with a wet suit on standing on a surfboard in the water.
75,1503,http://images.cocodataset.org/val2017/000000001503.jpg,A picture of an iMac desktop next to a Mac laptop on a desk. 
76,1503,http://images.cocodataset.org/val2017/000000001503.jpg,A laptop and desktop computer on a white desk
77,1503,http://images.cocodataset.org/val2017/000000001503.jpg,A computer on a desk next to a laptop.
78,1503,http://images.cocodataset.org/val2017/000000001503.jpg,A computer desk with several pieces of computer equipment.
79,1503,http://images.cocodataset.org/val2017/000000001503.jpg,Two apple computers are on a white desk
80,1532,http://images.cocodataset.org/val2017/000000001532.jpg,A street scene with focus on the street signs on an overpass.
81,1532,http://images.cocodataset.org/val2017/000000001532.jpg,Some cars on the freeway are exiting onto Sunset Blvd.
82,1532,http://images.cocodataset.org/val2017/000000001532.jpg,Many cars traveling on a busy road with exit signs overhead.
83,1532,http://images.cocodataset.org/val2017/000000001532.jpg,California traffic goes by road signs on an overpass indicating famous Hollywood streets.
84,1532,http://images.cocodataset.org/val2017/000000001532.jpg,Cars and trucks driving under the underpass with street signs directing them where to go
85,1584,http://images.cocodataset.org/val2017/000000001584.jpg,a red double decker bus that is in the middle of the road
86,1584,http://images.cocodataset.org/val2017/000000001584.jpg,"The red, double decker bus is driving past other buses. "
87,1584,http://images.cocodataset.org/val2017/000000001584.jpg,A red bus is driving on the road.
88,1584,http://images.cocodataset.org/val2017/000000001584.jpg,A double decker bus rolls along the streets.
89,1584,http://images.cocodataset.org/val2017/000000001584.jpg,A red double decker bus driving down a city street.
90,1675,http://images.cocodataset.org/val2017/000000001675.jpg,A black cat is sitting on a metal platform. 
91,1675,http://images.cocodataset.org/val2017/000000001675.jpg,A black fluffy cat sitting on top of a computer keyboard.
92,1675,http://images.cocodataset.org/val2017/000000001675.jpg,A black and white cat relaxing inside a laptop.
93,1675,http://images.cocodataset.org/val2017/000000001675.jpg,The large cat is resting comfortably behind the laptop screen. 
94,1675,http://images.cocodataset.org/val2017/000000001675.jpg,A cat resting on an open laptop computer.
95,1761,http://images.cocodataset.org/val2017/000000001761.jpg,A sky photo to jumbo jet airplanes over a bridge.
96,1761,http://images.cocodataset.org/val2017/000000001761.jpg,Two planes flying in the sky over a bridge.
97,1761,http://images.cocodataset.org/val2017/000000001761.jpg,two jets are flying over a bridge and some water
98,1761,http://images.cocodataset.org/val2017/000000001761.jpg,Two airplanes flying in the sky above a black bridge.
99,1761,http://images.cocodataset.org/val2017/000000001761.jpg,"Two planes fly over a bridge in Sydney, Australia, with the Sydney Opera House in the background."
100,1818,http://images.cocodataset.org/val2017/000000001818.jpg,A zebra in the grass who is cleaning himself. 
101,1818,http://images.cocodataset.org/val2017/000000001818.jpg,A baby giraffe drinking milk from it's mother in a field.
102,1818,http://images.cocodataset.org/val2017/000000001818.jpg,A baby zebra is suckling milk from its mother.
103,1818,http://images.cocodataset.org/val2017/000000001818.jpg,a baby zebra nursing from an adult zebra
104,1818,http://images.cocodataset.org/val2017/000000001818.jpg,Baby zebra sucking milk from its mothers teat. 
105,1993,http://images.cocodataset.org/val2017/000000001993.jpg,A bedroom with a bed and small table near by.
106,1993,http://images.cocodataset.org/val2017/000000001993.jpg,"A bed room that has a table, chairs, and bed in it."
107,1993,http://images.cocodataset.org/val2017/000000001993.jpg,View of an apartment room with a bed an table and a view out the window.
108,1993,http://images.cocodataset.org/val2017/000000001993.jpg,A simple modern bedroom sheets on the bed
109,1993,http://images.cocodataset.org/val2017/000000001993.jpg,"A room with purple walls, carpet and bed comforter."
110,2006,http://images.cocodataset.org/val2017/000000002006.jpg,a big purple bus parked in a parking spot
111,2006,http://images.cocodataset.org/val2017/000000002006.jpg,City bus driving through pedestrian saturated area near crosswalk.
112,2006,http://images.cocodataset.org/val2017/000000002006.jpg,a big purple public bus called south tyne
113,2006,http://images.cocodataset.org/val2017/000000002006.jpg,A purple bus can't be missed on the city streets.
114,2006,http://images.cocodataset.org/val2017/000000002006.jpg,A city bus drives through a city area.
115,2149,http://images.cocodataset.org/val2017/000000002149.jpg,A white bowl of green granny smith apples.
116,2149,http://images.cocodataset.org/val2017/000000002149.jpg,A white bowl filled with green Granny Smith apples.
117,2149,http://images.cocodataset.org/val2017/000000002149.jpg,A bowl filled with many shiny  green apples.
